conta_contabil;conta_contabil_f;uniorcam;rv;banco;agencia;conta_corrente;tipo_conta;classificacao
11111010000000000000;1.1.1.1.1.01.00.00.00.00;201;1;0;00000;00000000000000000000;1;1
11111060101000000000;1.1.1.1.1.06.01.01.00.00;1201;50;1;3732X;00000000000000063010;2;3
11111060102000000000;1.1.1.1.1.06.01.02.00.00;1201;50;104;00521;00000000006000002951;2;3
11111060103000000000;1.1.1.1.1.06.01.03.00.00;1201;50;104;00521;00000000006000000711;2;3
11111060104000000000;1.1.1.1.1.06.01.04.00.00;1201;8001;41;01064;00000000000408273505;2;3
11111060105000000000;1.1.1.1.1.06.01.05.00.00;1201;50;1;3732X;0000000000000011698X;2;3
11111060106000000000;1.1.1.1.1.06.01.06.00.00;1201;50;748;00306;00000000000000113598;2;3
11111190201000000000;1.1.1.1.1.19.02.01.00.00;201;1;1;3732X;00000000000000071323;2;1
11111190202000000000;1.1.1.1.1.19.02.02.00.00;201;1;1;3732X;00000000000000071293;2;1
11111190204000000000;1.1.1.1.1.19.02.04.00.00;201;1;1;3732X;00000000000000040150;2;1
11111190205000000000;1.1.1.1.1.19.02.05.00.00;201;1;1;3732X;00000000000000073857;2;1
11111190206000000000;1.1.1.1.1.19.02.06.00.00;201;1;1;3732X;0000000000000011636X;2;1
11111190207000000000;1.1.1.1.1.19.02.07.00.00;801;40;1;3732X;00000000000000100625;2;1
11111190208000000000;1.1.1.1.1.19.02.08.00.00;502;1070;1;3732X;00000000000000096229;2;1
11111190209000000000;1.1.1.1.1.19.02.09.00.00;201;8001;1;3732X;00000000000000071323;2;1
11111190210000000000;1.1.1.1.1.19.02.10.00.00;801;4760;1;3732X;00000000000000099546;2;1
11111190211000000000;1.1.1.1.1.19.02.11.00.00;201;20;1;3732X;00000000000000050113;2;1
11111190212000000000;1.1.1.1.1.19.02.12.00.00;201;1016;1;3732X;00000000000000077674;2;1
11111190213000000000;1.1.1.1.1.19.02.13.00.00;201;1014;1;3732X;00000000000000076848;2;1
11111190214000000000;1.1.1.1.1.19.02.14.00.00;201;1018;1;3732X;00000000000000078271;2;1
11111190215000000000;1.1.1.1.1.19.02.15.00.00;801;31;1;3732X;00000000000000115525;2;1
11111190217000000000;1.1.1.1.1.19.02.17.00.00;801;4931;1;3732X;00000000000000109258;2;1
11111190218000000000;1.1.1.1.1.19.02.18.00.00;501;1036;1;3732X;00000000000000056057;2;1
11111190220000000000;1.1.1.1.1.19.02.20.00.00;801;4503;1;3732X;00000000000000114731;2;1
11111190221000000000;1.1.1.1.1.19.02.21.00.00;201;1001;1;3732X;00000000000000096229;2;1
11111190222000000000;1.1.1.1.1.19.02.22.00.00;201;1031;1;3732X;00000000000000096229;2;1
11111190223000000000;1.1.1.1.1.19.02.23.00.00;201;1033;1;3732X;00000000000000096229;2;1
11111190224000000000;1.1.1.1.1.19.02.24.00.00;201;1059;1;3732X;00000000000000096229;2;1
11111190242000000000;1.1.1.1.1.19.02.42.00.00;201;1;1;3732X;00000000000000089281;2;1
11111190243000000000;1.1.1.1.1.19.02.43.00.00;201;1071;1;3732X;00000000000000096229;2;1
11111190245000000000;1.1.1.1.1.19.02.45.00.00;801;4935;1;3732X;00000000000000107417;2;1
11111190249000000000;1.1.1.1.1.19.02.49.00.00;801;4710;1;3732X;00000000000000099546;2;1
11111190251000000000;1.1.1.1.1.19.02.51.00.00;201;4720;1;3732X;00000000000000099546;2;1
11111190253000000000;1.1.1.1.1.19.02.53.00.00;801;4710;1;3732X;00000000000000099546;2;1
11111190256000000000;1.1.1.1.1.19.02.56.00.00;701;1;1;3732X;00000000000000007641;2;1
11111190257000000000;1.1.1.1.1.19.02.57.00.00;902;1064;1;3732X;00000000000000111430;2;1
11111190258000000000;1.1.1.1.1.19.02.58.00.00;902;1021;1;3732X;00000000000000111430;2;1
11111190259000000000;1.1.1.1.1.19.02.59.00.00;902;1038;1;3732X;00000000000000111414;2;1
11111190263000000000;1.1.1.1.1.19.02.63.00.00;902;1067;1;3732X;00000000000000111422;2;1
11111190264000000000;1.1.1.1.1.19.02.64.00.00;202;1050;1;3732X;00000000000000110124;2;1
11111190266000000000;1.1.1.1.1.19.02.66.00.00;801;4931;1;3732X;00000000000000112291;2;1
11111190267000000000;1.1.1.1.1.19.02.67.00.00;801;4931;1;3732X;00000000000000113042;2;1
11111190270000000000;1.1.1.1.1.19.02.70.00.00;801;4520;1;3732X;0000000000000009952X;2;1
11111190271000000000;1.1.1.1.1.19.02.71.00.00;801;4931;1;3732X;00000000000000109258;2;1
11111190272010000000;1.1.1.1.1.19.02.72.01.00;801;4500;1;3732X;00000000000000114731;2;1
11111190272030000000;1.1.1.1.1.19.02.72.03.00;801;4503;1;3732X;00000000000000114731;2;1
11111190272040000000;1.1.1.1.1.19.02.72.04.00;801;4502;1;3732X;00000000000000114731;2;1
11111190272060000000;1.1.1.1.1.19.02.72.06.00;801;4501;1;3732X;00000000000000114731;2;1
11111190272070000000;1.1.1.1.1.19.02.72.07.00;801;4520;1;3732X;00000000000000114731;2;1
11111190272080000000;1.1.1.1.1.19.02.72.08.00;801;4504;1;3732X;00000000000000114731;2;1
11111190272090000000;1.1.1.1.1.19.02.72.09.00;801;4500;1;3732X;00000000000000114731;2;1
11111190273010000000;1.1.1.1.1.19.02.73.01.00;801;4936;1;3732X;00000000000000114820;2;1
11111190318000000000;1.1.1.1.1.19.03.18.00.00;701;1022;104;00521;00000000006006471945;2;1
11111190319000000000;1.1.1.1.1.19.03.19.00.00;701;1;104;00521;00000000006006471945;2;1
11111190326000000000;1.1.1.1.1.19.03.26.00.00;602;1200;104;00521;00000000006006472160;2;1
11111190328000000000;1.1.1.1.1.19.03.28.00.00;1002;1207;104;00521;00000000006006472500;2;1
11111190329000000000;1.1.1.1.1.19.03.29.00.00;1002;1;104;00521;00000000006006472500;2;1
11111190330000000000;1.1.1.1.1.19.03.30.00.00;1001;1206;104;00521;00000000006000472496;2;1
11111190331000000000;1.1.1.1.1.19.03.31.00.00;1001;1;104;00521;00000000006000472496;2;1
11111190332000000000;1.1.1.1.1.19.03.32.00.00;602;1203;104;00521;00000000006006472267;2;1
11111190333000000000;1.1.1.1.1.19.03.33.00.00;602;1;104;00521;00000000006006472267;2;1
11111191201000000000;1.1.1.1.1.19.12.01.00.00;801;40;41;01064;00000000000402881902;2;1
11111191202000000000;1.1.1.1.1.19.12.02.00.00;201;1;41;01064;00000000000401315306;2;1
11111191203000000000;1.1.1.1.1.19.12.03.00.00;201;1114;41;01064;00000000000401881305;2;1
11111191204000000000;1.1.1.1.1.19.12.04.00.00;801;4190;41;01064;00000000000408091601;2;1
11111191206000000000;1.1.1.1.1.19.12.06.00.00;801;4300;41;01064;00000000000408302408;2;1
11111191207000000000;1.1.1.1.1.19.12.07.00.00;201;1017;41;3732X;00000000000401970606;2;1
11111191208000000000;1.1.1.1.1.19.12.08.00.00;201;20;41;01064;00000000000402402109;2;1
11111191210000000000;1.1.1.1.1.19.12.10.00.00;801;4090;41;01064;00000000000402872245;2;1
11111191211000000000;1.1.1.1.1.19.12.11.00.00;801;4160;41;01064;00000000000402872237;2;1
11111191212000000000;1.1.1.1.1.19.12.12.00.00;801;4050;41;01064;00000000000402872210;2;1
11111191215000000000;1.1.1.1.1.19.12.15.00.00;801;4011;41;01064;00000000000402872296;2;1
11111191216000000000;1.1.1.1.1.19.12.16.00.00;801;4111;41;01064;00000000000408024904;2;1
11111191219000000000;1.1.1.1.1.19.12.19.00.00;201;8001;41;01064;00000000000408273505;2;1
11111191228000000000;1.1.1.1.1.19.12.28.00.00;1004;1005;41;01064;00000000000402855405;2;1
11111191232000000000;1.1.1.1.1.19.12.32.00.00;902;1103;41;01064;00000000000408068200;2;1
11111191242000000000;1.1.1.1.1.19.12.42.00.00;801;4050;41;01064;00000000000408163706;2;1
11111199901010000000;1.1.1.1.1.19.99.01.01.00;201;1;748;00306;00000000000000078784;2;1
11111199901020000000;1.1.1.1.1.19.99.01.02.00;201;8001;748;00306;00000000000000078784;2;1
11111500209000000000;1.1.1.1.1.50.02.09.00.00;502;31;1;3732X;00000000000000115525;3;1
11111500213000000000;1.1.1.1.1.50.02.13.00.00;502;1031;1;3732X;00000000000000096229;3;1
11111500214000000000;1.1.1.1.1.50.02.14.00.00;702;1022;104;00521;00000000006006471945;3;1
11111500217000000000;1.1.1.1.1.50.02.17.00.00;701;1;104;00521;00000000006006471945;3;1
11111500227000000000;1.1.1.1.1.50.02.27.00.00;602;1200;104;00521;00000000006006472160;3;1
11111500228000000000;1.1.1.1.1.50.02.28.00.00;502;1070;1;3732X;00000000000000096229;3;1
11111500229000000000;1.1.1.1.1.50.02.29.00.00;1002;1207;104;00521;00000000006006472500;3;1
11111500230000000000;1.1.1.1.1.50.02.30.00.00;1002;1;104;00521;00000000006006472500;3;1
11111500231000000000;1.1.1.1.1.50.02.31.00.00;1001;1206;104;00521;00000000006000472496;3;1
11111500233000000000;1.1.1.1.1.50.02.33.00.00;602;1203;104;00521;00000000006006472267;3;1
11111500234000000000;1.1.1.1.1.50.02.34.00.00;602;1;104;00521;00000000006006472267;3;1
11111500301000000000;1.1.1.1.1.50.03.01.00.00;201;1;1;3732X;00000000000000071323;3;1
11111500302000000000;1.1.1.1.1.50.03.02.00.00;201;4505;1;3732X;00000000000000114820;3;1
11111500303000000000;1.1.1.1.1.50.03.03.00.00;201;1014;1;3732X;00000000000000076848;3;1
11111500304000000000;1.1.1.1.1.50.03.04.00.00;201;4760;1;3732X;00000000000000099546;3;1
11111500305000000000;1.1.1.1.1.50.03.05.00.00;801;4090;41;01064;00000000000408047009;3;1
11111500306000000000;1.1.1.1.1.50.03.06.00.00;201;1;41;01064;00000000000401315306;3;1
11111500307000000000;1.1.1.1.1.50.03.07.00.00;502;31;1;3732x;00000000000000115525;3;1
11111500308000000000;1.1.1.1.1.50.03.08.00.00;201;1017;41;01064;00000000000401970606;3;1
11111500309000000000;1.1.1.1.1.50.03.09.00.00;201;1016;1;3732X;00000000000000077674;3;1
11111500310000000000;1.1.1.1.1.50.03.10.00.00;801;4190;41;01064;00000000000408091601;3;1
11111500311000000000;1.1.1.1.1.50.03.11.00.00;502;1001;1;3732X;00000000000000096229;3;1
11111500313000000000;1.1.1.1.1.50.03.13.00.00;602;1200;104;00521;00000000006006472160;3;1
11111500314000000000;1.1.1.1.1.50.03.14.00.00;901;4503;1;3732X;00000000000000114731;3;1
11111500317000000000;1.1.1.1.1.50.03.17.00.00;201;1;748;00306;00000000000000078784;3;1
11111500318000000000;1.1.1.1.1.50.03.18.00.00;1002;1207;104;00521;00000000006006472500;3;1
11111500319000000000;1.1.1.1.1.50.03.19.00.00;801;4011;41;01064;00000000000402872296;3;1
11111500320000000000;1.1.1.1.1.50.03.20.00.00;801;4111;41;01064;00000000000408024904;3;1
11111500321000000000;1.1.1.1.1.50.03.21.00.00;1002;1;104;00521;00000000006006472500;3;1
11111500323000000000;1.1.1.1.1.50.03.23.00.00;1001;1206;104;00521;00000000006000472496;3;1
11111500324000000000;1.1.1.1.1.50.03.24.00.00;1001;1;104;00521;00000000006000472496;3;1
11111500332000000000;1.1.1.1.1.50.03.32.00.00;602;1203;104;00521;00000000006006472267;3;1
11111500333000000000;1.1.1.1.1.50.03.33.00.00;602;1;104;00521;00000000006006472267;3;1
11111500334000000000;1.1.1.1.1.50.03.34.00.00;801;4050;41;01064;00000000000402872210;3;1
11111500335000000000;1.1.1.1.1.50.03.35.00.00;801;4160;41;01064;00000000000402872237;3;1
11111500336000000000;1.1.1.1.1.50.03.36.00.00;801;4303;41;01064;00000000000408027601;3;1
11111500350000000000;1.1.1.1.1.50.03.50.00.00;1004;1005;41;01064;00000000000402855405;3;1
11111500352000000000;1.1.1.1.1.50.03.52.00.00;201;4710;1;3732X;00000000000000099546;3;1
11111500357000000000;1.1.1.1.1.50.03.57.00.00;902;1103;41;01064;00000000000408068200;3;1
11111500366000000000;1.1.1.1.1.50.03.66.00.00;201;4710;1;3732X;00000000000000099546;3;1
11111500368000000000;1.1.1.1.1.50.03.68.00.00;801;4050;41;01064;00000000000408163706;3;1
11111500375000000000;1.1.1.1.1.50.03.75.00.00;201;4931;1;3732X;00000000000000109258;3;1
11111500377000000000;1.1.1.1.1.50.03.77.00.00;702;1022;104;00521;00000000006006471945;3;1
11111500378000000000;1.1.1.1.1.50.03.78.00.00;902;1064;1;3732X;00000000000000111430;3;1
11111500379000000000;1.1.1.1.1.50.03.79.00.00;902;1021;1;3732x;00000000000000111430;3;1
11111500380020000000;1.1.1.1.1.50.03.80.02.00;902;1021;1;3732X;00000000000000111430;3;1
11111500381010000000;1.1.1.1.1.50.03.81.01.00;902;1038;1;3732X;00000000000000111414;3;1
11111500382010000000;1.1.1.1.1.50.03.82.01.00;902;1067;1;3732X;00000000000000111422;3;1
11111500383000000000;1.1.1.1.1.50.03.83.00.00;902;1038;1;3732x;00000000000000111414;3;1
11111500384000000000;1.1.1.1.1.50.03.84.00.00;202;1050;1;3732X;00000000000000110124;3;1
11111500385000000000;1.1.1.1.1.50.03.85.00.00;902;1067;1;3732x;00000000000000111422;3;1
11111500388000000000;1.1.1.1.1.50.03.88.00.00;801;4931;1;3732X;00000000000000112291;3;1
11111500389000000000;1.1.1.1.1.50.03.89.00.00;801;4300;41;01064;00000000000408302408;3;1
11111500390000000000;1.1.1.1.1.50.03.90.00.00;701;1;104;00521;00000000006006471945;3;1
11111500398010000000;1.1.1.1.1.50.03.98.01.00;801;4500;1;3732X;00000000000000114731;3;1
11111500398030000000;1.1.1.1.1.50.03.98.03.00;801;4503;1;3732X;00000000000000114731;3;1
11111500398060000000;1.1.1.1.1.50.03.98.06.00;801;4520;1;3732X;00000000000000114731;3;1
11111500398070000000;1.1.1.1.1.50.03.98.07.00;801;4500;1;3732X;00000000000000114731;3;1
11111500399010000000;1.1.1.1.1.50.03.99.01.00;801;4936;1;3732X;00000000000000114820;3;1
11411090601000000000;1.1.4.1.1.09.06.01.00.00;1201;50;1;3732X;00000000000000063010;3;3
11411090602000000000;1.1.4.1.1.09.06.02.00.00;1201;50;1;3732X;00000000000000063010;3;3
11411090603000000000;1.1.4.1.1.09.06.03.00.00;1201;50;104;00521;00000000006000000711;3;3
11411090606000000000;1.1.4.1.1.09.06.06.00.00;1201;50;104;00521;00000000006000000711;3;3
11411090608000000000;1.1.4.1.1.09.06.08.00.00;1201;50;104;00521;00000000006000002951;3;3
11411090609000000000;1.1.4.1.1.09.06.09.00.00;1201;50;1;3732X;00000000000000063010;3;3
11411090610000000000;1.1.4.1.1.09.06.10.00.00;1201;50;104;00521;00000000006000000711;3;3
11411090611000000000;1.1.4.1.1.09.06.11.00.00;1201;50;1;3732X;0000000000000011698X;3;3
11411090612000000000;1.1.4.1.1.09.06.12.00.00;1201;50;1;3732X;0000000000000011698X;3;3
11411090613000000000;1.1.4.1.1.09.06.13.00.00;1201;50;1;3732X;0000000000000011698X;3;3
11411090614000000000;1.1.4.1.1.09.06.14.00.00;1201;50;104;00521;00000000006000002951;3;3
11411090615000000000;1.1.4.1.1.09.06.15.00.00;1201;50;748;00306;00000000000000113598;3;3
11411090616000000000;1.1.4.1.1.09.06.16.00.00;1201;50;748;00306;00000000000000113598;3;3
11411090617000000000;1.1.4.1.1.09.06.17.00.00;1201;50;1;3732X;0000000000000011698X;3;3
11111191205000000000;1.1.1.1.1.19.12.05.00.00;101;1;41;01064;00000000000408018706;2;2
11111191220000000000;1.1.1.1.1.19.12.20.00.00;101;8001;41;01064;00000000000408018706;2;2
11111500322000000000;1.1.1.1.1.50.03.22.00.00;101;1;41;01064;00000000000408018706;3;2
